Dataset,BatchSize,Threat,Source Model,Attack,standard TSR(FR),standard S_APR,standard S_total,standard median_norm,standard Optimality,zhang_2020_small TSR(FR),zhang_2020_small S_APR,zhang_2020_small S_total,zhang_2020_small median_norm,zhang_2020_small Optimality,stutz_2020 TSR(FR),stutz_2020 S_APR,stutz_2020 S_total,stutz_2020 median_norm,stutz_2020 Optimality,xiao_2020 TSR(FR),xiao_2020 S_APR,xiao_2020 S_total,xiao_2020 median_norm,xiao_2020 Optimality,wang_2023_small TSR(FR),wang_2023_small S_APR,wang_2023_small S_total,wang_2023_small median_norm,wang_2023_small Optimality,per-time,Average transfer optimality
cifar10,128,linf,standard,ch_pgd_minimal,100.0,5.5652,556.52,0.004,0.731,93.5,0.0467,4.36,0.0,0.914,99.9,0.3278,32.74,0.014,0.934,97.8,0.8167,79.84,0.119,0.822,93.5,0.0349,3.26,0.165,0.963,0.766,0.908
cifar10,128,linf,standard,art_fgm_minimal,99.8,5.406,539.4,0.006,0.573,87.6,0.0596,5.22,0.0,0.876,99.8,0.3371,33.63,0.013,0.908,94.8,2.4962,236.59,0.125,0.753,94.7,0.0358,3.39,0.168,0.971,0.029,0.877
cifar10,128,linf,standard,ch_fgm_minimal,99.8,5.406,539.4,0.006,0.573,87.6,0.0596,5.22,0.0,0.876,99.8,0.3371,33.63,0.013,0.908,94.8,2.4962,236.59,0.125,0.753,94.7,0.0358,3.39,0.168,0.971,0.028,0.877
cifar10,128,linf,standard,dr_fgm_minimal,99.8,5.406,539.4,0.006,0.573,87.6,0.0596,5.22,0.0,0.876,99.8,0.3371,33.63,0.013,0.908,94.8,2.4962,236.59,0.125,0.753,94.7,0.0358,3.39,0.168,0.971,0.029,0.877
cifar10,128,linf,standard,fb_fgm_minimal,99.8,5.406,539.4,0.006,0.573,87.6,0.0596,5.22,0.0,0.876,99.8,0.3371,33.63,0.013,0.908,94.8,2.4962,236.59,0.125,0.753,94.7,0.0358,3.39,0.168,0.971,0.028,0.877
cifar10,128,linf,standard,ta_fgsm_minimal,99.8,5.406,539.4,0.006,0.573,87.6,0.0596,5.22,0.0,0.876,99.8,0.3371,33.63,0.013,0.908,94.8,2.4962,236.59,0.125,0.753,94.7,0.0358,3.39,0.168,0.971,0.027,0.877
cifar10,128,linf,standard,original_apgd_minimal,100.0,6.0689,606.89,0.003,0.997,98.8,0.0334,3.3,0.0,0.83,100.0,0.3144,31.44,0.014,0.938,99.7,0.1644,16.39,0.125,0.733,93.9,0.0259,2.43,0.248,0.882,1.942,0.846
cifar10,128,linf,standard,ta_apgd_minimal,100.0,6.0689,606.89,0.003,0.997,98.8,0.0333,3.29,0.0,0.829,100.0,0.3143,31.42,0.014,0.937,99.7,0.1643,16.38,0.125,0.733,94.0,0.0259,2.43,0.248,0.882,1.908,0.845
cifar10,128,linf,standard,art_bim_minimal,100.0,3.4665,346.65,0.004,0.727,90.0,0.0437,3.93,0.0,0.817,99.9,0.3411,34.07,0.014,0.931,96.6,5.4309,524.81,0.125,0.727,94.2,0.0291,2.75,0.227,0.903,6.902,0.845
cifar10,128,linf,standard,art_pgd_minimal,100.0,5.554,555.4,0.004,0.726,86.7,0.0431,3.74,0.0,0.8,99.9,0.334,33.35,0.014,0.93,91.5,1.7827,163.17,0.125,0.684,94.2,0.029,2.74,0.227,0.903,0.878,0.829
